Modelis,Mėnesio kaina,Kaina
Samsung Galaxy S23,"33,30 €/mėn.",799 €
Samsung Galaxy S23 Ultra,"50,80 €/mėn.",1 219 €
Samsung Galaxy Flip4 5G,"29,55 €/mėn.",709 €
Samsung Galaxy Flip4 Bespoke Edition,"32,05 €/mėn.",769 €
Samsung Galaxy S23+,"42,05 €/mėn.",1 009 €
Samsung Galaxy A34 5G,"14,13 €/mėn.",339 €
Samsung Galaxy A54 5G,"17,46 €/mėn.",419 €
Samsung Galaxy S21 FE,"25,38 €/mėn.",609 €
Samsung Galaxy S22,"30,38 €/mėn.",729 €
Samsung Galaxy S22 Ultra,"44,13 €/mėn.",1 059 €
Samsung Galaxy Fold4 5G,"69,55 €/mėn.",1 669 €
Samsung Galaxy A23 5G,"8,30 €/mėn.",199 €
Samsung Galaxy A53 5G,"14,13 €/mėn.",339 €
Samsung Galaxy A13 (A137) 32GB,"4,96 €/mėn.",119 €
Samsung Galaxy A13 (A137) 128GB,"6,63 €/mėn.",159 €
Samsung Galaxy A13 5G,"9,13 €/mėn.",219 €
Samsung Galaxy A14 4G,"8,30 €/mėn.",199 €
Samsung Galaxy A14 5G,"9,55 €/mėn.",229 €
